species	Length	Number	Standard	Symm.	Compl.	Inverted
Ciona_intestinalis	10	4742	1463	1460	911	908
Ciona_intestinalis	11	1774	615	535	300	324
Ciona_intestinalis	12	649	215	190	116	128
Ciona_intestinalis	13	226	74	79	29	44
Ciona_intestinalis	14	101	35	30	20	16
Ciona_intestinalis	15	28	8	4	8	8
Ciona_intestinalis	16	9	4	3	1	1
Ciona_intestinalis	17	4	1	1	0	2
Ciona_intestinalis	18	2	1	0	0	1
Ciona_intestinalis	25	1	1	0	0	0
Styela_plicata	10	1976	834	697	207	238
Styela_plicata	11	676	299	249	60	68
Styela_plicata	12	249	100	85	25	39
Styela_plicata	13	89	44	31	4	10
Styela_plicata	14	33	19	8	1	5
Styela_plicata	15	15	7	5	0	3
Styela_plicata	16	10	4	4	0	2
Styela_plicata	17	8	5	1	1	1
Styela_plicata	18	3	3	0	0	0
Styela_plicata	19	2	2	0	0	0
Styela_plicata	21	1	1	0	0	0
Styela_plicata	22	1	0	0	0	1
Styela_plicata	30	1	0	0	0	1
Styela_plicata	31	1	0	0	0	1
Styela_plicata	33	1	0	0	0	1
Halocynthia_roretzi	10	1869	865	806	92	106
Halocynthia_roretzi	11	674	311	267	50	46
Halocynthia_roretzi	12	200	99	81	6	14
Halocynthia_roretzi	13	55	24	27	2	2
Halocynthia_roretzi	14	29	16	12	0	1
Halocynthia_roretzi	15	11	7	4	0	0
Halocynthia_roretzi	16	8	6	1	0	1
Halocynthia_roretzi	17	3	1	0	0	2
Halocynthia_roretzi	18	2	1	1	0	0
Halocynthia_roretzi	20	1	1	0	0	0
Halocynthia_roretzi	21	1	0	1	0	0
Halocynthia_roretzi	22	1	1	0	0	0
Herdmania_momus	10	1376	625	616	63	72
Herdmania_momus	11	485	254	192	25	14
Herdmania_momus	12	171	89	68	8	6
Herdmania_momus	13	60	27	31	0	2
Herdmania_momus	14	23	15	6	0	2
Herdmania_momus	15	6	4	2	0	0
Herdmania_momus	16	2	1	0	1	0
Herdmania_momus	17	1	1	0	0	0
Herdmania_momus	18	1	0	1	0	0
Herdmania_momus	20	1	1	0	0	0
Herdmania_momus	22	2	2	0	0	0
Herdmania_momus	89	1	1	0	0	0
Branchiostoma_floridae	10	570	174	151	123	122
Branchiostoma_floridae	11	156	57	47	25	27
Branchiostoma_floridae	12	42	17	10	9	6
Branchiostoma_floridae	13	19	6	6	2	5
Branchiostoma_floridae	14	3	0	1	0	2
Branchiostoma_floridae	15	1	0	0	1	0
Branchiostoma_lanceolatum	10	534	169	143	109	113
Branchiostoma_lanceolatum	11	161	61	53	20	27
Branchiostoma_lanceolatum	12	43	17	6	11	9
Branchiostoma_lanceolatum	13	16	3	7	1	5
Branchiostoma_lanceolatum	14	4	0	2	0	2
Branchiostoma_lanceolatum	15	3	0	0	3	0
Branchiostoma_belcheri	10	744	248	214	134	148
Branchiostoma_belcheri	11	229	78	72	32	47
Branchiostoma_belcheri	12	63	23	19	12	9
Branchiostoma_belcheri	13	18	3	8	4	3
Branchiostoma_belcheri	14	5	2	2	0	1
Branchiostoma_belcheri	15	3	1	1	0	1
Branchiostoma_belcheri	16	2	2	0	0	0
Lampetra_fluviatilis	10	616	202	173	120	121
Lampetra_fluviatilis	11	168	50	54	42	22
Lampetra_fluviatilis	12	51	11	16	8	16
Lampetra_fluviatilis	13	11	4	5	1	1
Lampetra_fluviatilis	14	8	6	0	1	1
Lampetra_fluviatilis	15	2	2	0	0	0
Lampetra_fluviatilis	20	1	1	0	0	0
Lampetra_fluviatilis	21	3	3	0	0	0
Lampetra_fluviatilis	24	1	1	0	0	0
Lampetra_fluviatilis	25	1	1	0	0	0
Lampetra_fluviatilis	26	1	1	0	0	0
Lampetra_fluviatilis	34	1	1	0	0	0
Lampetra_fluviatilis	35	1	1	0	0	0
Lampetra_fluviatilis	36	1	1	0	0	0
Lampetra_fluviatilis	74	1	1	0	0	0
Lampetra_aepyptera	10	654	193	202	138	121
Lampetra_aepyptera	11	181	61	56	28	36
Lampetra_aepyptera	12	75	19	32	13	11
Lampetra_aepyptera	13	16	2	13	0	1
Lampetra_aepyptera	14	5	1	2	1	1
Lampetra_aepyptera	15	8	7	1	0	0
Lampetra_aepyptera	16	6	6	0	0	0
Lampetra_aepyptera	17	3	3	0	0	0
Lampetra_aepyptera	18	1	1	0	0	0
Lampetra_aepyptera	19	3	3	0	0	0
Lampetra_aepyptera	20	1	1	0	0	0
Lampetra_aepyptera	22	1	1	0	0	0
Lampetra_aepyptera	24	1	1	0	0	0
Lampetra_aepyptera	25	1	1	0	0	0
Lampetra_aepyptera	26	1	1	0	0	0
Lampetra_aepyptera	27	2	2	0	0	0
Lampetra_aepyptera	34	2	2	0	0	0
Lampetra_aepyptera	35	2	2	0	0	0
Lampetra_aepyptera	37	1	1	0	0	0
Lampetra_aepyptera	38	1	1	0	0	0
Lampetra_aepyptera	46	1	1	0	0	0
Lampetra_aepyptera	66	1	1	0	0	0
Lethenteron_reissneri	10	686	218	208	134	126
Lethenteron_reissneri	11	184	66	52	30	36
Lethenteron_reissneri	12	41	13	14	7	7
Lethenteron_reissneri	13	7	1	2	2	2
Lethenteron_reissneri	14	9	8	1	0	0
Lethenteron_reissneri	15	2	1	1	0	0
Lethenteron_reissneri	17	1	1	0	0	0
Lethenteron_reissneri	19	1	1	0	0	0
Lethenteron_reissneri	21	2	2	0	0	0
Lethenteron_reissneri	23	1	1	0	0	0
Lethenteron_reissneri	24	2	2	0	0	0
Lethenteron_reissneri	25	2	2	0	0	0
Lethenteron_reissneri	41	1	1	0	0	0
Lethenteron_reissneri	74	1	1	0	0	0
Lethenteron_reissneri	318	1	1	0	0	0
Petromyzon_marinus	10	710	198	223	124	165
Petromyzon_marinus	11	218	63	64	52	39
Petromyzon_marinus	12	66	10	16	12	28
Petromyzon_marinus	13	14	6	5	2	1
Petromyzon_marinus	14	2	2	0	0	0
Petromyzon_marinus	15	3	2	1	0	0
Petromyzon_marinus	16	2	1	0	1	0
Petromyzon_marinus	68	1	1	0	0	0
Petromyzon_marinus	154	1	1	0	0	0
Eptatretus_burgeri	10	1135	349	377	211	198
Eptatretus_burgeri	11	380	139	110	63	68
Eptatretus_burgeri	12	122	45	33	9	35
